word,weigh
president,0.010251768735543593
make,-0.018585193817110914
million,-0.013916598494781954
time,-0.038275097530123973
company,-0.004756128911395965
people,-0.0010713808674272993
home,-0.01608694770073449
die,0.0041108463165164906
editor,-0.028970815151827273
state,-0.017964819224943324
american,-0.0011072283525441803
work,-0.015826215580244198
official,0.04874923541758775
show,-0.034175250446145486
report,-0.010085536730633627
man,0.0421238364387201
world,-0.021570103383750976
include,-0.0066649720456826884
plan,-0.03060819300882952
call,0.019759169171508918
announce,0.030768730808938192
percent,-0.005876379968006018
begin,-0.024082959349591655
share,-0.021307325551712115
end,0.03710310564011153
play,-0.02360377538184487
open,-0.02791348433666055
city,-0.019266744783445592
government,0.021078216754459277
give,-0.006000129746911863
good,-0.019883262377482103
find,0.013062643976006282
lead,0.016109523256882162
charge,0.009157551449336969
game,-0.018035729617609266
country,-0.030044683245677144
long,0.005815165347277751
back,-0.029635535690335748
leave,-0.015411631997261237
school,-0.006023052761912325
run,-0.01909255152126171
win,-0.002055460566207336
police,-0.0036361653009399225
hold,0.023090313600029416
life,0.0018177202824949169
woman,-0.011318195428525902
part,-0.01514075255339447
team,-0.021237021247066737
member,0.030212633244566595
group,-0.00944229056482039
high,-0.016275005164529472
live,0.00359025934312949
family,0.022053901652658445
public,-0.016250627119467884
start,-0.02797092451882061
executive,-0.022180174449022313
large,0.01163794219317989
service,0.0023927086447267237
business,-0.023654155536444
offer,-0.0005277086559408176
national,-0.027768509268942584
close,-0.02993640132385721
program,-0.008588351926877813
set,0.006272443086684457
quarter,-0.002602965998309321
war,0.019849455713717316
leader,-0.0005156266690714726
move,0.007417998615646613
major,0.00833902624630186
big,-0.02457206811794565
loss,-0.003886152814853497
billion,0.0032731860488526034
change,-0.019729764965678846
child,0.010521114730758455
place,0.008817164481573108
accord,0.03737886600123794
meet,-0.003040169295829227
director,0.018437125699834387
campaign,-0.02055946119434287
kill,0.02937105470942562
federal,0.01716787760846734
price,0.006934299594730621
political,-0.03144929914805394
son,0.005925738841684531
turn,-0.0014100120852555515
market,-0.014519777537323296
mrs,0.02053562933618719
tax,0.0021284994505080027
build,-0.0025792780818515797
office,0.015993338304149615
force,-0.003924441917229098
issue,-0.00036314846656152394
chief,0.005602887564536856
increase,0.005757126971516874
pay,-0.020767920445469896
sell,0.0038576765281345482
article,0.01786205681593265
cent,-0.020984220380861094
house,-0.013034603764820291
music,0.011377347064623134
stock,9.262722667818353e-05
case,0.00771489162641933
series,-0.0003726922905348703
recent,-0.005307116713829741
head,-0.021234515566233465
record,0.016072222288009207
election,-0.010379674504613063
write,-0.037173530981565645
law,0.015360703979625825
vote,-0.004262864934931467
wife,0.04706224576685924
great,0.0054074126737323255
young,0.00882996124377982
continue,-0.009334587531112565
court,0.01575676415772291
point,-0.019922150632154592
face,0.010722962073267579
rise,0.01108681928976355
sign,-0.00606643256471651
daughter,-0.0004940134485967896
film,-0.004850386359147228
officer,0.010698751251118861
top,-0.00901721614233205
news,-0.038813346638177336
expect,-0.012815671259203227
death,-0.011756424650669138
television,-0.014072678741430731
player,-0.016885048709908715
talk,-0.025714486695003088
art,0.013196291696954248
trade,-0.023118513992823952
result,-0.018623229831447555
base,-0.021709630123443215
attack,0.047457977056146704
friend,-0.007102455731268426
operation,0.0008790031748670041
interest,-0.0008435981505500503
question,-0.020271875444464228
spend,-0.0288943410122049
return,0.0039254858900426735
military,0.01841306503172247
book,0.008321179725780977
effort,-0.001770886463490471
tonight,0.032708336468215506
bring,-0.0011615327889546675
love,0.03312173154966361
number,-0.003643264042925835
judge,0.005154823143119833
small,0.012957131617285254
black,-0.0056041999758859855
student,-0.011633769654604142
put,0.0021713204745111405
gain,0.008499016882170574
chairman,-0.0028682722894504808
rate,0.017461460743915514
system,-0.020033525757614985
minister,-0.005222413886533028
sept,-6.43095199787517e-05
senator,-0.035041658014426776
lose,7.059244469137204e-05
rule,0.010460487634487592
thing,-0.0231906583428555
agree,-0.009578034659841814
buy,-0.007671611344266411
order,0.008190870188217741
bank,-0.012036587433194136
marry,-0.02898039286540376
release,0.013936086900402614
job,-0.021080133693961108
power,0.014197632796591907
receive,-0.021286246409755388
race,-0.00847895001198413
party,0.00361348356924823
line,-0.012819176874074752
age,0.04187007953545137
miss,0.04189929891685861
shoot,0.006665823823164134
follow,-0.001079178454803707
republican,0.0020178515326295435
general,0.010328213131040839
final,-0.032612441385093116
pass,0.015576027938229091
car,-0.015610802040784038
victory,0.0062974259145536
strike,0.026944140299892286
street,-0.027844610790727062
beloved,0.05878752095772188
international,-0.018331414851294015
money,-0.013997734322084378
history,-0.0341110151434709
league,-0.006461651397365124
raise,0.013314618959551832
perform,-0.005955706305779557
bill,0.00481264000466251
cut,-0.05673235287908689
sales,-0.005650276071186615
remain,0.009383104806018798
story,0.002087323072944441
